"","age","production","language","n","prop_produced"
"393",17,2,"Spanish (European)",588,0.00340136054421769
"394",17,15,"Spanish (European)",588,0.0255102040816327
"395",17,133,"Spanish (European)",588,0.226190476190476
"396",17,63,"Spanish (European)",588,0.107142857142857
"397",17,21,"Spanish (European)",588,0.0357142857142857
"398",17,12,"Spanish (European)",588,0.0204081632653061
"399",17,9,"Spanish (European)",588,0.0153061224489796
"400",17,14,"Spanish (European)",588,0.0238095238095238
"401",18,131,"Spanish (European)",588,0.222789115646259
"402",18,7,"Spanish (European)",588,0.0119047619047619
"403",18,22,"Spanish (European)",588,0.0374149659863946
"404",18,30,"Spanish (European)",588,0.0510204081632653
"405",18,16,"Spanish (European)",588,0.0272108843537415
"406",18,24,"Spanish (European)",588,0.0408163265306122
"407",20,103,"Spanish (European)",588,0.175170068027211
"408",18,21,"Spanish (European)",588,0.0357142857142857
"409",18,25,"Spanish (European)",588,0.0425170068027211
"410",18,50,"Spanish (European)",588,0.0850340136054422
"411",19,42,"Spanish (European)",588,0.0714285714285714
"412",19,56,"Spanish (European)",588,0.0952380952380952
"413",19,59,"Spanish (European)",588,0.100340136054422
"414",19,206,"Spanish (European)",588,0.350340136054422
"415",20,68,"Spanish (European)",588,0.115646258503401
"416",20,47,"Spanish (European)",588,0.0799319727891157
"417",20,61,"Spanish (European)",588,0.103741496598639
"418",20,202,"Spanish (European)",588,0.343537414965986
"419",20,10,"Spanish (European)",588,0.0170068027210884
"420",20,161,"Spanish (European)",588,0.273809523809524
"421",20,56,"Spanish (European)",588,0.0952380952380952
"422",21,89,"Spanish (European)",588,0.151360544217687
"423",21,28,"Spanish (European)",588,0.0476190476190476
"424",21,40,"Spanish (European)",588,0.0680272108843537
"425",21,235,"Spanish (European)",588,0.399659863945578
"426",21,215,"Spanish (European)",588,0.365646258503401
"427",21,94,"Spanish (European)",588,0.159863945578231
"428",21,33,"Spanish (European)",588,0.0561224489795918
"429",21,399,"Spanish (European)",588,0.678571428571429
"430",20,277,"Spanish (European)",588,0.47108843537415
"431",19,56,"Spanish (European)",588,0.0952380952380952
"432",22,121,"Spanish (European)",588,0.20578231292517
"433",22,116,"Spanish (European)",588,0.197278911564626
"434",22,246,"Spanish (European)",588,0.418367346938776
"435",23,166,"Spanish (European)",588,0.282312925170068
"436",22,63,"Spanish (European)",588,0.107142857142857
"437",22,88,"Spanish (European)",588,0.149659863945578
"438",22,284,"Spanish (European)",588,0.482993197278912
